chapter,page,question_number,answer_type,grading_option1,grading_option2,grading_option3,grading_option4,answer
1.1 두 점 사이의 거리,1,1,단답형,,,,,10
1.1 두 점 사이의 거리,1,2,객관식,,,,,③
1.1 두 점 사이의 거리,1,3,단답형,,,,,-4
1.1 두 점 사이의 거리,1,4,단답형,,,,,6
1.1 두 점 사이의 거리,2,5,단답형,,,,,3
1.1 두 점 사이의 거리,2,6,객관식,,,,,⑤
1.1 두 점 사이의 거리,2,7,객관식,,,,,②
1.1 두 점 사이의 거리,2,8,객관식,,,,,④
1.1 두 점 사이의 거리,3,9,객관식,,,,,①
1.1 두 점 사이의 거리,3,10,단답형,,,,,5
1.1 두 점 사이의 거리,3,11,객관식,,,,,④
1.1 두 점 사이의 거리,3,12,객관식,,,,,④
1.1 두 점 사이의 거리,4,13,단답형,,,,,63
1.1 두 점 사이의 거리,4,14,단답형,,,,,12
1.1 두 점 사이의 거리,5,15,객관식,,,,,③
1.1 두 점 사이의 거리,5,16,객관식,,,,,③
1.2 선분의 내분점과 삼각형의 무게중심,7,1,단답형,,,,,6
1.2 선분의 내분점과 삼각형의 무게중심,7,2,단답형,,,,,5
1.2 선분의 내분점과 삼각형의 무게중심,7,3,단답형,,,,,1
1.2 선분의 내분점과 삼각형의 무게중심,7,4,단답형,,,,,2
1.2 선분의 내분점과 삼각형의 무게중심,8,5,단답형,,,,,3
1.2 선분의 내분점과 삼각형의 무게중심,8,6,단답형,,,,,1
1.2 선분의 내분점과 삼각형의 무게중심,8,7,객관식,,,,,③
1.2 선분의 내분점과 삼각형의 무게중심,8,8,객관식,,,,,②
1.2 선분의 내분점과 삼각형의 무게중심,9,9,단답형,,,,,-11
1.2 선분의 내분점과 삼각형의 무게중심,9,10,객관식,,,,,④
1.2 선분의 내분점과 삼각형의 무게중심,9,11,단답형,,,,,29/2
1.2 선분의 내분점과 삼각형의 무게중심,9,12,객관식,,,,,③
1.2 선분의 내분점과 삼각형의 무게중심,10,13,객관식,,,,,①
1.2 선분의 내분점과 삼각형의 무게중심,10,14,객관식,,,,,②
1.2 선분의 내분점과 삼각형의 무게중심,10,15,단답형,,,,,1
1.2 선분의 내분점과 삼각형의 무게중심,10,16,단답형,,,,,32
1.2 선분의 내분점과 삼각형의 무게중심,11,17,객관식,,,,,①
1.2 선분의 내분점과 삼각형의 무게중심,11,18,객관식,,,,,①
1.2 선분의 내분점과 삼각형의 무게중심,11,19,단답형,,,,,3
1.2 선분의 내분점과 삼각형의 무게중심,11,20,단답형,,,,,15
1.2 선분의 내분점과 삼각형의 무게중심,12,21,단답형,,,,,4
1.2 선분의 내분점과 삼각형의 무게중심,12,22,단답형,,,,,7
2.1 직선의 방정식,13,1,객관식,,,,,②
2.1 직선의 방정식,13,2,객관식,,,,,①
2.1 직선의 방정식,13,3,객관식,,,,,③
2.1 직선의 방정식,13,4,객관식,,,,,⑤
2.1 직선의 방정식,14,5,객관식,,,,,④
2.1 직선의 방정식,14,6,객관식,,,,,③
2.1 직선의 방정식,14,7,객관식,,,,,③
2.1 직선의 방정식,14,8,객관식,,,,,⑤
2.1 직선의 방정식,15,9,객관식,,,,,④
2.1 직선의 방정식,15,10,객관식,,,,,②
2.1 직선의 방정식,15,11,단답형,,,,,5
2.1 직선의 방정식,15,12,단답형,,,,,2
2.1 직선의 방정식,16,13,객관식,,,,,②
2.1 직선의 방정식,16,14,객관식,,,,,④
2.1 직선의 방정식,16,15,객관식,,,,,③
2.1 직선의 방정식,16,16,단답형,,,,,2
2.1 직선의 방정식,17,17,단답형,,,,,16
2.1 직선의 방정식,17,18,단답형,,,,,4
2.1 직선의 방정식,17,19,단답형,,,,,169
2.1 직선의 방정식,17,20,단답형,,,,,4
2.1 직선의 방정식,18,21,단답형,,,,,3
2.1 직선의 방정식,18,22,객관식,,,,,④
2.1 직선의 방정식,18,23,객관식,,,,,④
2.1 직선의 방정식,18,24,객관식,,,,,①
2.1 직선의 방정식,19,25,객관식,,,,,③
2.1 직선의 방정식,19,26,단답형,,,,,3
2.1 직선의 방정식,19,27,객관식,,,,,②
2.1 직선의 방정식,19,28,객관식,,,,,⑤
2.1 직선의 방정식,20,29,객관식,,,,,②
2.1 직선의 방정식,20,30,단답형,,,,,4
2.2 직선의 위치 관계,21,1,단답형,,,,,3
2.2 직선의 위치 관계,21,2,단답형,,,,,-8/3
2.2 직선의 위치 관계,21,3,단답형,,,,,5
2.2 직선의 위치 관계,21,4,단답형,,,,,2
